Accuracy = 0.8649314538127166
          /#   /$  /''  /(  /)    /,    /.   /:   /CC   /CD   /DT  /EX  /FW   /IN   /JJ  /JJR  /JJR|RBR  /JJS  /JJ|IN  /LS  /MD   /NN  /NNP  /NNPS  /NNS  /PDT  /POS  /PRP  /PRP$   /RB  /RBR  /RBR|JJR  /RBS  /RB|JJ  /RP  /SYM   /TO  /UH   /VB  /VBD  /VBG  /VBG|NN  /VBN  /VBN|JJ  /VBP  /VBZ  /WDT  /WP  /WP$  /WRB  /``
/#         5    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/$         0  375    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/''        0    0  531   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     1     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/(         0    0    0  76   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/)         0    0    0   0  76     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/,         0    0    0   0   0  3070     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/.         0    0    0   0   0     0  2363    0     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/:         0    0    0   0   0     0     0  336     0     0     0    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/CC        0    0    0   0   0     0     0    0  1361     0    10    0    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     2     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/CD        0    0    0   0   0     0     0    0     0  1921     0    0    0     0     0     0         0     0       0    0    0    12     1      0     0     0     0     1      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/DT        0    0    0   0   0     0     0    0     0     0  4777    0    0    36     2     0         0     0       0    0    0     0     0      0     0     1     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     3    0     0     0    0
/EX        0    0    0   0   0     0     0    0     0     0     0   53    0     0     0     0         0     0       0    0    0     0     0      0     0     0     0     0      0     4     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/FW        0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0    19     1      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/IN        0    0    0   0   0     0     0    0     0     0     4    0    0  5793     5     0         0     0       0    0    0    16     0      0     0     0     0     0      0    28     0         0     0       0    9     0     0    0     0     0     0        0     0        0     0     0    11    0     0     0    0
/JJ        0    0    0   0   0     0     0    0     0    63     0    0    0    11  2408     0         0     1       0    0    0  1006    32      0     0     0     0     0      0    42     2         0     0       0    0     0     0    0     6    21    19        0    98        0     2     0     0    0     0     0    0
/JJR       0    0    0   0   0     0     0    0     0     0     0    0    0     0     2   126         0     0       0    0    0    16     1      0     0     0     0     0      0     1    48         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/JJR|RBR   0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     1         0     0       0    0    0     0     0      0     0     0     0     0      0     0     3         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/JJS       0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0   111       0    0    0    11     0      0     0     0     0     0      0     0     0         0     6       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
/JJ|IN     0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0         0     0       0    0    0     1     0      0     0     0     0     0      0     0     0         0     0       0    0     0     0    0     0     0     0        0     0        0     0     0     0    0     0     0    0
